X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,P,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,C,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,_,_,_,_,_,_,_,_,_,_,X,X,X,X,T,X,X,X,X,C,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,P,_,C,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,X,_,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,C,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,C,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,_,_,_,_,_,_,_,_,_,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,P,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,R,X,X,X,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,_,_,_,_,_,_,_,_,_,_,_,X,X,X,X,X,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,_,_,_,_,_,_,X
X,_,X,X,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,X,_,X
X,_,X,C,X,X,X,X,X,X,X,_,X,X,X,_,X,X,X,X,X,X,_,X,X,X,X,P,_,X
X,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
